productCategory,productDescription,productID,productName,productPrice,productSKU
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\n\nN\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Lock&amp;Lock EJF357BLK (5.2 L\u00edt) ch\u1ec9 c\u1ea7n nguy\u00ean li\u1ec7u, kh\u00f4ng c\u1ea7n d\u1ea7u m\u1ee1, c\u00f3 th\u1ec3 gi\u1ea3m ch\u1ea5t b\u00e9o, gi\u00fap ng\u01b0\u1eddi d\u00f9ng c\u00f3 th\u1ec3 ch\u1ebf bi\u1ebfn nh\u1eefng m\u00f3n \u0103n c\u00f3 l\u1ee3i cho s\u1ee9c kh\u1ecfe.\nTh\u1ee9c \u0103n kh\u00f4ng...",36626940,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u \u0110i\u1ec7n T\u1eed Lock&Lock EJF357BLK (5.2 L\u00edt) - H\u00e0ng Ch\u00ednh H\u00e3ng,2399000,1698700525412
"\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/B\u00e0n \u1ee7i, b\u00e0n l\u00e0\/B\u00e0n \u1ee7i kh\u00f4","C\u00f4ng su\u1ea5t 1000W m\u1ea1nh m\u1ebd\r\nB\u00e0n \u1ee6i Kh\u00f4 Philips HD1172 ho\u1ea1t \u0111\u1ed9ng v\u1edbi c\u00f4ng su\u1ea5t 1000W c\u00f3 ch\u1ee9c n\u0103ng l\u00e0m n\u00f3ng nhanh ch\u00f3ng m\u1eb7t \u0111\u1ebf b\u00e0n \u1ee7i, gi\u00fap \u1ee7i nhanh qu\u1ea7n \u00e1o gi\u00fap b\u1ea1n ti\u1ebft ki\u1ec7m \u0111\u01b0\u1ee3c nhi\u1ec1u th\u1eddi gian v\u00e0 \u0111i\u1ec7n...",392067,B\u00e0n \u1ee6i Kh\u00f4 Philips HD1172 - H\u00e0ng ch\u00ednh h\u00e3ng,269000,1630907572448
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/B\u00ecnh \u0111un si\u00eau t\u1ed1c,"Thi\u1ebft k\u1ebf \u0111ep m\u1eaft v\u1edbi dung t\u00edch 1.8 l\u00edt\n\u1ea4m \u0111i\u1ec7n th\u1ee7y tinh si\u00eau t\u1ed1c c\u00f3 \u0111i\u1ec1u ch\u1ec9nh nhi\u1ec7t \u0111\u1ed9 Lock&amp;Lock EJK341 c\u00f3 thi\u1ebft k\u1ebf \u0111\u1eb9p m\u1eaft v\u1edbi h\u1ec7 th\u1ed1ng \u0111\u00e8n LED chi\u1ebfu s\u00e1ng \u0111\u1eb7c bi\u1ec7t, nhi\u1ec7t \u0111\u1ed9 kh\u00e1c nhau th\u00ec cho...",4701559,\u1ea4m \u0110i\u1ec7n Th\u1ee7y Tinh Si\u00eau T\u1ed1c C\u00f3 \u0110i\u1ec1u Ch\u1ec9nh Nhi\u1ec7t \u0110\u1ed9 Lock&Lock EJK341 (1.8L) - H\u00e0ng ch\u00ednh h\u00e3ng,494000,3002117730471
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/L\u00f2 vi s\u00f3ng\/L\u00f2 vi s\u00f3ng c\u01a1,"Thi\u1ebft k\u1ebf l\u00f2 hi\u1ec7n \u0111\u1ea1i, sang tr\u1ecdng\r\nThi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn v\u1edbi nh\u1eefng \u0111\u01b0\u1eddng n\u00e9t t\u00ednh t\u1ebf v\u00e0 hi\u1ec7n \u0111\u1ea1i, kh\u00f4ng ch\u1ec9 gi\u00fap ti\u1ebft ki\u1ec7m t\u1ed1i \u0111a kh\u00f4ng gian ph\u00f2ng m\u00e0 c\u00f2n t\u00f4 \u0111i\u1ec3m th\u00eam v\u1ebb \u01b0a nh\u00ecn cho c\u0103n b\u1ebf c\u1ee7a b\u1ea1n. B\u00ean...",414764,L\u00f2 Vi S\u00f3ng Sharp R-205VN(S) - 20L - H\u00e0ng ch\u00ednh h\u00e3ng,1199000,1861108241318
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\n\nThi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn\nN\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Bluestone\u00a0AFB-5865 s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o, nh\u1ecf g\u1ecdn, k\u1ebft h\u1ee3p t\u00f4ng \u0111en tuy\u1ec1n tinh t\u1ebf mang \u0111\u1ebfn s\u1ef1 sang tr\u1ecdng cho kh\u00f4ng gian s\u1eed d\u1ee5ng.\u00a0B\u00ean c\u1ea1nh \u0111\u00f3,\u00a0Bluestone\u00a0AFB...",20916752,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u \u0110i\u1ec7n T\u1eed Bluestone AFB-5866 (3.5L) - H\u00e0ng Ch\u00ednh H\u00e3ng,1589900,1967394320734
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i c\u01a1m \u0111i\u1ec7n\/N\u1ed3i c\u01a1m \u0111i\u1ec7n t\u1eed,"Thi\u1ebft k\u1ebf hi\u1ec7n\u00a0\u0111\u1ea1i v\u00e0 trang nh\u00e3\nN\u1ed3i C\u01a1m \u0110i\u1ec7n T\u1eed Toshiba RC-18NMFVN(WT) v\u1edbi thi\u1ebft k\u1ebf n\u1eafp li\u1ec1n, ki\u1ec3u d\u00e1ng hi\u1ec7n \u0111\u1ea1i c\u00f9ng t\u00f4ng m\u00e0u t\u01b0\u01a1i t\u1eafn\u00a0s\u1ebd khi\u1ebfn cho kh\u00f4ng gian nh\u00e0 b\u1ebfp c\u1ee7a b\u1ea1n th\u00eam ph\u1ea7n sang tr\u1ecdng v\u00e0...",634778,N\u1ed3i C\u01a1m \u0110i\u1ec7n T\u1eed Toshiba RC-18NMFVN(WT) (1.8L) - Tr\u1eafng - H\u00e0ng ch\u00ednh h\u00e3ng,2278900,1897990219753
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/L\u00f2 n\u01b0\u1edbng \u0111i\u1ec7n\/L\u00f2 n\u01b0\u1edbng th\u00f9ng,"Ki\u1ec3u d\u00e1ng sang tr\u1ecdng, nh\u1ecf g\u1ecdn\nL\u00f2 N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4206\u00a0s\u1edf h\u1eefu\u00a0thi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn nh\u01b0ng v\u1eabn sang tr\u1ecdng, v\u1ecf ngo\u00e0i \u0111\u01b0\u1ee3c l\u00e0m b\u1eb1ng inox b\u1ec1n v\u0129nh c\u1eedu, m\u00e0u \u0111en l\u00ec hi\u1ec7n \u0111\u1ea1i, ph\u00f9 h\u1ee3p v\u1edbi b\u1ea5t k\u1ef3 kh\u00f4ng gian...",6772415,L\u00f2 N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4206 (10L) - H\u00e0ng ch\u00ednh h\u00e3ng,319000,7759533821479
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y \u0111\u00e1nh tr\u1ee9ng,"\nC\u00f4ng su\u1ea5t 300W v\u00e0 6 t\u1ed1c \u0111\u1ed9\nM\u00e1y c\u00f3 c\u00f4ng su\u1ea5t 300W, \u0111\u01b0\u1ee3c trang b\u1ecb 6 t\u1ed1c \u0111\u1ed9 kh\u00e1c nhau, gi\u00fap b\u1ea1n d\u1ec5 d\u00e0ng \u0111i\u1ec1u ch\u1ec9nh m\u1ee9c \u0111\u1ed9 th\u00edch h\u1ee3p trong qu\u00e1 tr\u00ecnh s\u1eed d\u1ee5ng. Trong \u0111\u00f3, ch\u1ee9c n\u0103ng gia t\u1ed1c nhanh v\u00e0 an to\u00e0n...",359479,M\u00e1y \u0110\u00e1nh Tr\u1ee9ng Bluestone HMB-6333S (300W) - H\u00e0ng ch\u00ednh h\u00e3ng,598900,1839478484680
"\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y xay, m\u00e1y \u00e9p\/M\u00e1y xay c\u1ea7m tay","Thi\u1ebft k\u1ebf h\u00ecnh tr\u1ee5 tinh t\u1ebf\nM\u00e1y Xay Sinh T\u1ed1 C\u1ea7m Tay Lock&amp;Lock EJJ321 (50W - 300ml) - H\u00e0ng Ch\u00ednh H\u00e3ng\u00a0s\u1edf h\u1eefu thi\u1ebft k\u1ebf th\u00e2n h\u00ecnh tr\u1ee5 tinh t\u1ebf, ki\u1ec3u d\u00e1ng nh\u1ecf g\u1ecdn ti\u1ec7n d\u1ee5ng, ph\u00f9 h\u1ee3p \u0111em theo khi \u0111i du...",48025253,M\u00e1y Xay Sinh T\u1ed1 C\u1ea7m Tay Lock&Lock EJJ321 (50W - 300ml) - H\u00e0ng Ch\u00ednh H\u00e3ng,679000,9755897409573
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed,"Lo\u1ea1i b\u1ecf \u0111\u01b0\u1ee3c 99,97% b\u1ee5i m\u1ecbn PM 2.5\nM\u00e1y L\u1ecdc Kh\u00f4ng Kh\u00ed Xiaomi 3H EU FJY4031GL l\u00e0 b\u1ea3n n\u00e2ng c\u1ea5p c\u1ee7a Mi Air Purifier 2H. Theo Xiaomi, Mi Air Purifier 3H t\u00edch h\u1ee3p m\u00e0ng l\u1ecdc True HEPA lo\u1ea1i b\u1ecf \u0111\u01b0\u1ee3c 99.97% b\u1ee5i...",40960143,M\u00e1y L\u1ecdc Kh\u00f4ng Kh\u00ed Xiaomi 3H EU FJY4031GL - H\u00e0ng Ch\u00ednh H\u00e3ng,3054600,7687385150358
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\nThi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn, hi\u1ec7n \u0111\u1ea1i\nN\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Bluestone AFB-5870 s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o, nh\u1ecf g\u1ecdn, k\u1ebft h\u1ee3p t\u00f4ng \u0111en tuy\u1ec1n tinh t\u1ebf mang \u0111\u1ebfn s\u1ef1 sang tr\u1ecdng cho kh\u00f4ng gian s\u1eed d\u1ee5ng. V\u1edbi kh\u1ea3 n\u0103ng n\u1ea5u...",20024114,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Bluestone AFB-5870 (5L) - H\u00e0ng Ch\u00ednh H\u00e3ng,1798900,3563619249354
"\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y xay, m\u00e1y \u00e9p\/M\u00e1y xay th\u1ecbt","Ki\u1ec3u d\u00e1ng hi\u1ec7n \u0111\u1ea1i\nM\u00e1y Xay Th\u1ecbt 2 L\u01b0\u1ee1i K\u00e9p Bluestone CHB-5139 (2L) c\u00f3 ki\u1ec3u d\u00e1ng \u0111\u1eb9p, sang tr\u1ecdng, g\u1ecdn nh\u1eb9 d\u1ec5 d\u00e0ng c\u1ea5t gi\u1eef v\u00e0 b\u1ea3o qu\u1ea3n. M\u00e0u s\u1eafc thanh l\u1ecbch cho c\u0103n b\u1ebfp c\u1ee7a gia \u0111\u00ecnh th\u00eam ph\u1ea7n \u1ea5n t\u01b0\u1ee3ng...",860733, M\u00e1y Xay Th\u1ecbt 2 L\u01b0\u1ee1i K\u00e9p Bluestone CHB-5139 (2L) - H\u00e0ng ch\u00ednh h\u00e3ng,549000,3211425757562
"\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y xay, m\u00e1y \u00e9p\/M\u00e1y v\u1eaft cam","M\u00e1y V\u1eaft Cam Philips HR-2738 \nM\u00e1y V\u1eaft Cam Philips HR-2738 c\u00f4ng su\u1ea5t 25W, dung t\u00edch 0.5\u00a0l\u00edt, mang \u0111\u1ebfn cho b\u1ea1n m\u1ed9t ly n\u01b0\u1edbc cam t\u00ednh ch\u1ea5t v\u00e0 s\u1ea1ch nh\u1ea5t.\u00a0V\u1edbi v\u1ecf b\u00ean ngo\u00e0i \u0111\u01b0\u1ee3c l\u00e0m t\u1eeb nh\u1ef1a cao c\u1ea5p n\u00ean r\u1ea5t...",3873843,M\u00e1y V\u1eaft Cam Philips HR-2738 - H\u00e0ng Nh\u1eadp Kh\u1ea9u,366000,1608940672609
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/V\u1ec9 n\u01b0\u1edbng \u0111i\u1ec7n,"Thi\u1ebft k\u1ebf g\u1ecdn nh\u1eb9, ti\u1ec7n s\u1eed d\u1ee5ng\nB\u1ebfp N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4607\u00a0c\u00f3 thi\u1ebft k\u1ebf g\u1ecdn g\u00e0ng, tr\u1ecdng l\u01b0\u1ee3ng c\u1ef1c nh\u1eb9 v\u1edbi khay n\u01b0\u1edbng ch\u1ec9 765g r\u1ea5t ti\u1ec7n cho vi\u1ec7c s\u1eed d\u1ee5ng t\u1ea1i nh\u00e0, di chuy\u1ec3n v\u00e0 b\u1ea3o qu\u1ea3n s\u1ea3n ph\u1ea9m. B\u1ebfp...",1460199,B\u1ebfp N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4607 (1500W) - H\u00e0ng ch\u00ednh h\u00e3ng,310400,7029882633420
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed,"M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed Kachi MK-195\u00a0c\u00f3 thi\u1ebft k\u1ebf h\u00ecnh kh\u1ed1i ch\u1eafc ch\u1eafn, nh\u1ecf g\u1ecdn, v\u1edbi m\u00e0u \u0111en tr\u1eafng trang nh\u00e3, t\u0103ng t\u00ednh th\u1ea9m m\u1ef9 cho m\u1ecdi kh\u00f4ng gian s\u1eed d\u1ee5ng\n\n\u00a0\nC\u00f4ng su\u1ea5t 40W,\u00a0l\u1ecdc kh\u00f4ng kh\u00ed t\u1ed1i \u01b0u trong c\u00e1c...",47793269,M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed Kachi MK195 - H\u00e0ng ch\u00ednh h\u00e3ng,649000,9155726126273
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y h\u00fat b\u1ee5i\/H\u00fat b\u1ee5i c\u1ea7m tay,"M\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay Kh\u00f4ng D\u00e2y R6053 l\u00e0 s\u1ea3n ph\u1ea9m hi\u1ec7n \u0111\u1ea1i, kh\u00f4ng ch\u1ec9 h\u00fat b\u1ee5i cho xe h\u01a1i v\u00e0 gia \u0111\u00ecnh m\u00e0 c\u00f2n \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf sang tr\u1ecdng, tinh t\u1ebf k\u1ebft h\u1ee3p v\u1edbi s\u1ee9c h\u00fat m\u1ea1nh m\u1ebd, \u0111em l\u1ea1i s\u1ef1 tr\u1ea3i nghi\u1ec7m tuy\u1ec7t...",19577942,M\u00e1y h\u00fat b\u1ee5i s\u1ea1c pin kh\u00f4ng d\u00e2y R6053,265000,9876208607270
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y pha c\u00e0 ph\u00ea\/M\u00e1y pha c\u00e0 ph\u00ea gia \u0111\u00ecnh,"Pha ch\u1ebf th\u1ee9c u\u1ed1ng mang phong c\u00e1ch Italian Coffee\r\nB\u00ean c\u1ea1nh ch\u1ee9c n\u0103ng pha espresso, c\u00e0 ph\u00ea th\u01b0\u1eddng; m\u00e1y \u0111\u01b0\u1ee3c t\u00edch h\u1ee3p v\u00f2i phun \u0111\u1ec3 t\u1ea1o b\u1ecdt s\u1eefa cho cappuccino chu\u1ea9n. Ch\u1ebf \u0111\u1ed9 \u0111\u00e1nh b\u1ecdt gi\u00fap pha ch\u1ebf c\u00e0 ph\u00ea...",548599,M\u00e1y Pha C\u00e0 Ph\u00ea Espresso Tiross TS-621 - H\u00e0ng Ch\u00ednh H\u00e3ng,919000,1777835653808
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\nThi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o\nN\u1ed3i Chi\u00ean Kh\u00f4ng Kh\u00ed \u0110i\u1ec7n T\u1eed Philips HD9650\/91 XXL s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o v\u1edbi lu\u1ed3ng kh\u00ed \u0111\u01b0\u1ee3c l\u00e0m n\u00f3ng r\u1ea5t cao l\u01b0u th\u00f4ng nhanh, thi\u1ebft k\u1ebf h\u00ecnh sao v\u00e0 c\u1ea5u h\u00ecnh l\u00e0m n\u00f3ng t\u1ed1i \u01b0u cho ph\u00e9p...",13516156,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u \u0110i\u1ec7n T\u1eed Philips HD9650\/91 XXL (1.4kg) - H\u00e0ng Ch\u00ednh H\u00e3ng,5999000,1705110151176
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y s\u1ea5y th\u1ef1c ph\u1ea9m,"\n\n\n\n\n\n\n\n\n\n\n\nThi\u1ebft k\u1ebf hi\u1ec7n \u0111\u1ea1i, g\u1ecdn nh\u1eb9\nM\u00e1y S\u1ea5y Th\u1ef1c Ph\u1ea9m Magic Korea A-73 \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn, kh\u00f4ng chi\u1ebfm nhi\u1ec1u di\u1ec7n t\u00edch khi s\u1eed d\u1ee5ng. Chi\u1ebfc m\u00e1y n\u00e0y x\u1ee9ng \u0111\u00e1ng l\u00e0 s\u1ea3n ph\u1ea9m h\u1eefu \u00edch c\u00f3 m\u1eb7t trong m\u1ed7i...",31502009,M\u00e1y S\u1ea5y Th\u1ef1c Ph\u1ea9m Magic A-73 - H\u00e0ng Ch\u00ednh H\u00e3ng,449000,4688629878772
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y h\u00fat b\u1ee5i\/H\u00fat b\u1ee5i c\u1ea7m tay,"Thi\u1ebft k\u1ebf ki\u1ec3u d\u00e1ng c\u1ea7m tay ti\u1ec7n d\u1ee5ng\nM\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay MIDEA MVC SC861B - Tr\u1eafng Xanh \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf v\u1edbi ki\u1ec3u d\u00e1ng c\u1ea7m tay nh\u1ecf g\u1ecdn, ph\u00f9 h\u1ee3p v\u1edbi nhi\u1ec1u \u0111\u1ed1i t\u01b0\u1ee3ng s\u1eed d\u1ee5ng nh\u1eb1m t\u1ea1o c\u1ea3m gi\u00e1c tho\u1ea3i m\u00e1i cho...",505634,M\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay MIDEA MVC SC861B - Tr\u1eafng Xanh - H\u00e0ng ch\u00ednh h\u00e3ng,629000,1680564579410
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\nThi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o\nN\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Philips HD9220\/20 s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o v\u1edbi lu\u1ed3ng kh\u00ed \u0111\u01b0\u1ee3c l\u00e0m n\u00f3ng r\u1ea5t cao l\u01b0u th\u00f4ng nhanh, thi\u1ebft k\u1ebf h\u00ecnh sao v\u00e0 c\u1ea5u h\u00ecnh l\u00e0m n\u00f3ng t\u1ed1i \u01b0u cho ph\u00e9p b\u1ea1n r\u00e1n...",21388715,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Philips HD9220\/20 - H\u00e0ng nh\u1eadp kh\u1ea9u,2099000,1021203504538
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/L\u00f2 vi s\u00f3ng\/L\u00f2 vi s\u00f3ng \u0111i\u1ec7n t\u1eed,"Thi\u1ebft k\u1ebf \u0111a ch\u1ee9c n\u0103ng n\u1ea5u\nL\u00f2 Vi S\u00f3ng \u0110i\u1ec7n T\u1eed Bluestone MOB-7815 l\u00e0 d\u00f2ng l\u00f2 vi s\u00f3ng \u0111a c\u00f4ng n\u0103ng, kh\u00f4ng nh\u1eefng h\u00e2m n\u00f3ng, r\u00e3 \u0111\u00f4ng th\u1ee9c \u0103n m\u00e0 s\u1ea3n ph\u1ea9m c\u00f2n c\u00f3 8 ch\u1ebf \u0111\u1ed9 n\u1ea5u t\u1ef1 \u0111\u1ed9ng th\u00edch h\u1ee3p \u00fd mu\u1ed1n c\u1ee7a m\u1ed7i...",35250138,L\u00f2 Vi S\u00f3ng \u0110i\u1ec7n T\u1eed Bluestone MOB-7815 (20 L\u00edt),1348900,8099781419776
"\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/B\u00e0n \u1ee7i, b\u00e0n l\u00e0\/B\u00e0n \u1ee7i h\u01a1i n\u01b0\u1edbc","B\u00e0n L\u00e0 H\u01a1i N\u01b0\u1edbc C\u1ea7m Tay Lock&amp;Lock ENI241PIK v\u1edbi thi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn, \u0111\u01a1n gi\u1ea3n, an to\u00e0n v\u00e0 nhanh ch\u00f3ng gi\u00fap lo\u1ea1i b\u1ecf c\u00e1c n\u1ebfp nh\u0103n, ph\u00f9 h\u1ee3p s\u1eed d\u1ee5ng trong nhi\u1ec1u ho\u00e0n c\u1ea3nh nh\u01b0 trong gia \u0111\u00ecnh, ng\u00e0nh c\u00f4ng...",16550144,B\u00e0n \u1ee6i H\u01a1i N\u01b0\u1edbc C\u1ea7m Tay Lock&Lock ENI241- H\u00e0ng Ch\u00ednh H\u00e3ng,498000,5773541198400
